sample_id,label,frame_index,timestamp,right_pinky_0,right_pinky_1,right_pinky_2,right_ring_0,right_ring_1,right_ring_2,right_middle_0,right_middle_1,right_middle_2,right_index_0,right_index_1,right_index_2,right_thumb_0,right_thumb_1,right_thumb_2,right_thumb_3,right_hand_imu_w,right_hand_imu_x,right_hand_imu_y,right_hand_imu_z,right_forearm_imu_w,right_forearm_imu_x,right_forearm_imu_y,right_forearm_imu_z,right_upper_arm_imu_w,right_upper_arm_imu_x,right_upper_arm_imu_y,right_upper_arm_imu_z,left_pinky_0,left_pinky_1,left_pinky_2,left_ring_0,left_ring_1,left_ring_2,left_middle_0,left_middle_1,left_middle_2,left_index_0,left_index_1,left_index_2,left_thumb_0,left_thumb_1,left_thumb_2,left_thumb_3,left_hand_imu_w,left_hand_imu_x,left_hand_imu_y,left_hand_imu_z,left_forearm_imu_w,left_forearm_imu_x,left_forearm_imu_y,left_forearm_imu_z,left_upper_arm_imu_w,left_upper_arm_imu_x,left_upper_arm_imu_y,left_upper_arm_imu_z
2,taleb,0,1623079020,-7,0,70,1,-5,100,-4,11,94,-11,-10,4,12,-49,0,14,0.7301223785790129,0.019002855122018207,-0.6830341622231741,-0.0049404115095164625,0.8623001770104011,0.2842538377160381,0.0523443837742299,-0.41581025538601735,0.548477901693503,0.32641093391988873,0.43228466181148656,0.636991258717939,9,6,39,11,-6,0,3,0,0,20,-10,0,15,-50,13,13,0.9295917207919102,0.06589043180274234,0.2807776809969608,-0.22952478641755375,0.7366020395873507,0.3623193763830983,-0.568622772322831,0.05301183498574823,0.2442886776671815,0.5247109349633172,-0.25971127492065776,-0.773014572504135
2,taleb,1,1623100762,-7,0,70,1,-5,100,-4,11,94,-11,-10,4,12,-49,0,14,0.7256930652900496,0.016766979394028124,-0.6874985769632616,0.020833163463163384,0.870347869339946,0.27600800746836196,0.04007193305937526,-0.405842763709049,0.5511225324121107,0.3575893259148533,0.43859453787780983,0.6132117566976929,9,6,39,11,-6,0,3,0,0,20,-10,0,15,-50,13,13,0.9295917207919102,0.06589043180274234,0.2807776809969608,-0.22952478641755375,0.7366020395873507,0.3623193763830983,-0.568622772322831,0.05301183498574823,0.2442886776671815,0.5247109349633172,-0.25971127492065776,-0.773014572504135
2,taleb,2,1623120580,-7,0,70,1,-5,100,-4,10,95,-11,-10,4,12,-50,0,14,0.7227860817001822,0.012461890844675487,-0.6896042506806059,0.04325308607225048,0.8788313046107733,0.26834809869883236,0.03138193510815884,-0.3932682959953282,0.5529804361932795,0.3886586581098625,0.4424617575341308,0.5893934820920884,9,6,39,11,-6,0,3,0,0,20,-10,0,15,-50,13,13,0.9295917207919102,0.06589043180274234,0.2807776809969608,-0.22952478641755375,0.7366020395873507,0.3623193763830983,-0.568622772322831,0.05301183498574823,0.2442886776671815,0.5247109349633172,-0.25971127492065776,-0.773014572504135
2,taleb,3,1623140145,-7,0,70,1,-5,100,-4,10,95,-11,-10,4,12,-50,0,14,0.7209756235732095,0.007227756780550639,-0.6899037451364279,0.06461116642140224,0.8869960132917692,0.258663174697363,0.02471841149092674,-0.3817333848626652,0.5530558936484136,0.4219320072977652,0.4448464422968466,0.5641047787808301,9,6,38,11,-6,0,3,0,0,20,-9,0,15,-50,13,13,0.9330681071033489,0.05915009891419162,0.2684198710186749,-0.23202585252812644,0.7324544107930363,0.36736461282362226,-0.571119580316184,0.04874637846837945,0.2425773440496478,0.5318469982964728,-0.26637681129147944,-0.7663800596924193
2,taleb,4,1623160657,-7,0,70,1,-5,100,-4,10,95,-11,-10,4,12,-50,0,14,0.7199769221553972,0.004427141744736291,-0.6883278027952204,0.08842136909807485,0.8945310460057149,0.24773399888759182,0.02070437130929373,-0.37150147383439097,0.5518535372745846,0.4578284935977431,0.4451053099545612,0.5364065676768892,9,6,38,11,-6,0,3,0,0,20,-9,0,15,-50,13,13,0.9330681071033489,0.05915009891419162,0.2684198710186749,-0.23202585252812644,0.7324544107930363,0.36736461282362226,-0.571119580316184,0.04874637846837945,0.2425773440496478,0.5318469982964728,-0.26637681129147944,-0.7663800596924193
2,taleb,5,1623180922,-7,0,70,1,-5,100,-4,10,95,-11,-10,4,12,-50,0,14,0.7181015959037494,0.002062171493293914,-0.687011920866456,0.1110870677939772,0.9018127969044338,0.2410597768896809,0.018394927629909658,-0.3581695582655563,0.5480850578798089,0.49096960646181065,0.44485583536389284,0.5105437293233672,9,6,38,11,-6,0,3,0,0,20,-9,0,15,-50,13,13,0.9330681071033489,0.05915009891419162,0.2684198710186749,-0.23202585252812644,0.7324544107930363,0.36736461282362226,-0.571119580316184,0.04874637846837945,0.2425773440496478,0.5318469982964728,-0.26637681129147944,-0.7663800596924193
2,taleb,6,1623200092,-7,0,71,1,-5,100,-4,11,95,-11,-10,4,12,-50,0,14,0.7165661583858816,-0.004408850945126282,-0.6852887842528158,0.12997174885797902,0.9084065522055302,0.23672328819755253,0.02170875680723161,-0.3439306516410507,0.544528144170932,0.5225597113089563,0.4418032974295368,0.4850054573424373,9,6,38,11,-6,0,3,0,0,20,-9,0,15,-50,13,13,0.9330681071033489,0.05915009891419162,0.2684198710186749,-0.23202585252812644,0.7324544107930363,0.36736461282362226,-0.571119580316184,0.04874637846837945,0.2425773440496478,0.5318469982964728,-0.26637681129147944,-0.7663800596924193
2,taleb,7,1623221369,-7,0,71,1,-5,100,-4,11,95,-11,-10,4,12,-50,0,14,0.7167966798261336,-0.01144573185881374,-0.6808711602627189,0.14995282181208563,0.9137015839841565,0.2310855686511111,0.026533172234260438,-0.3332338648495632,0.5390110663816322,0.5566280627781892,0.4364976565986972,0.4572767923029542,9,-10,36,11,-6,0,3,0,0,20,-9,0,15,-50,13,13,0.9359516673497739,0.05140026686341623,0.2596750130562491,-0.23220987627544185,0.7266589554054742,0.37861065880677247,-0.5712714593002562,0.047640932352576326,0.23215608953499278,0.5394477574671789,-0.27061541596088634,-0.762802046818761
2,taleb,8,1623241676,-7,0,71,1,-5,100,-4,11,95,-11,-10,4,12,-50,0,14,0.7199266052481212,-0.015324921205844153,-0.6737297105512419,0.16600896843529594,0.9187265560360003,0.22484409621529197,0.029229831566281506,-0.32331440905613645,0.5324435562142587,0.5871499068216454,0.43068804880057454,0.431586202206116,9,-10,36,11,-6,0,3,0,0,20,-9,0,15,-50,13,13,0.9359516673497739,0.05140026686341623,0.2596750130562491,-0.23220987627544185,0.7266589554054742,0.37861065880677247,-0.5712714593002562,0.047640932352576326,0.23215608953499278,0.5394477574671789,-0.27061541596088634,-0.762802046818761
2,taleb,9,1623261295,-7,0,71,1,-5,100,-4,11,95,-11,-10,4,12,-50,0,14,0.7203089562878493,-0.01922574063049621,-0.6694545563601011,0.18059857693758008,0.9234642380133404,0.2212868221306837,0.034485472059864686,-0.31153914393524607,0.5237123867043226,0.6148108813863156,0.4262357453171554,0.4074996987783804,9,-10,36,11,-6,0,3,0,0,20,-9,0,15,-50,13,13,0.9359516673497739,0.05140026686341623,0.2596750130562491,-0.23220987627544185,0.7266589554054742,0.37861065880677247,-0.5712714593002562,0.047640932352576326,0.23215608953499278,0.5394477574671789,-0.27061541596088634,-0.762802046818761
